,road_damage_synthetic_data,,,,,,,,,,,,,,,
,2868,crack,1.79,0,7.08,rural,medium,rainy,cold_mix,bitumen,1378,4156,890,6424,5,HCC
,2869,crack,1.85,0,8.61,rural,low,humid,patching,bitumen,1208,3048,978,5234,4,Ashoka Buildcon
,2870,pothole,0.14,14,0.0,highway,very_high,dry,resurfacing,asphalt,579,2383,659,3621,4,Ashoka Buildcon
,2871,crack,4.21,0,0.98,urban,low,dry,resurfacing,asphalt,251,511,300,1062,7,JMC Projects
,2872,crack,0.26,0,7.32,highway,low,dry,full_depth_repair,bitumen,1151,3707,1510,6368,3,IRB Infrastructure
,2873,pothole,4.71,16,0.0,urban,high,dry,full_depth_repair,gravel,2121,6142,2809,11072,9,Tata Projects
,2874,crack,4.47,0,8.8,urban,medium,dry,resurfacing,bitumen,1026,3229,781,5036,8,KNR Constructions
,2875,crack,2.72,0,0.5,rural,medium,humid,resurfacing,bitumen,200,500,300,1000,6,Megha Engineering
,2876,crack,2.76,0,8.09,highway,very_high,rainy,patching,asphalt,1738,6146,3500,11384,7,Gammon India
,2877,crack,3.3,0,6.84,urban,very_high,rainy,cold_mix,asphalt,1064,3523,1526,6113,7,Tata Projects
,2878,crack,2.0,0,9.06,rural,medium,rainy,patching,bitumen,1033,3057,1507,5597,4,Tata Projects
,2879,pothole,3.27,4,0.0,rural,high,dry,patching,gravel,1690,6347,1954,9991,6,JMC Projects
,2880,crack,0.32,0,0.63,urban,high,dry,resurfacing,bitumen,200,628,300,1128,3,Megha Engineering
,2881,crack,0.36,0,6.13,urban,medium,rainy,resurfacing,bitumen,839,2247,1031,4117,4,Sadbhav Engineering
,2882,pothole,2.34,19,0.0,rural,very_high,dry,cold_mix,concrete,3033,6954,2638,12625,4,Dilip Buildcon
,2883,pothole,2.79,3,0.0,urban,low,rainy,full_depth_repair,bitumen,1306,4329,1303,6938,6,Simplex Infra
,2884,pothole,4.45,10,0.0,rural,medium,dry,resurfacing,concrete,3005,8239,3224,14468,8,Shapoorji Pallonji
,2885,crack,0.61,0,7.9,highway,medium,rainy,patching,bitumen,1398,5502,994,7894,3,Larsen & Toubro
,2886,pothole,4.13,14,0.0,highway,high,humid,cold_mix,bitumen,3241,9850,5087,18178,7,GR Infraprojects
,2887,crack,1.13,0,1.07,urban,low,rainy,full_depth_repair,bitumen,400,1194,759,2353,6,Tata Projects
,2888,crack,2.03,0,7.31,rural,high,dry,patching,concrete,1239,3889,1856,6984,4,Ramky Infra
,2889,pothole,1.65,1,0.0,urban,high,dry,patching,asphalt,1834,5218,1772,8824,3,HCC
,2890,pothole,2.06,15,0.0,rural,medium,dry,full_depth_repair,bitumen,1730,4914,680,7324,5,IRB Infrastructure
,2891,crack,0.84,0,5.06,highway,high,rainy,patching,asphalt,1341,4371,919,6631,5,KNR Constructions
,2892,pothole,2.57,3,0.0,urban,medium,dry,patching,asphalt,923,3190,947,5060,2,Megha Engineering
,2893,crack,4.03,0,8.45,rural,medium,rainy,cold_mix,asphalt,1577,4208,826,6611,5,Sadbhav Engineering
,2894,pothole,2.26,16,0.0,highway,low,dry,patching,gravel,1057,4841,1065,6963,4,Simplex Infra
,2895,pothole,2.5,15,0.0,rural,medium,rainy,patching,concrete,1013,3332,1515,5860,4,Afcons Infra
,2896,pothole,4.26,5,0.0,rural,low,dry,cold_mix,concrete,2475,8060,1321,11856,6,HCC
,2897,crack,3.56,0,2.73,urban,high,dry,cold_mix,asphalt,654,1642,701,2997,4,GR Infraprojects
,2898,pothole,2.5,20,0.0,rural,low,humid,full_depth_repair,asphalt,1408,5218,2337,8963,7,Megha Engineering
,2899,crack,1.36,0,1.72,urban,medium,humid,full_depth_repair,bitumen,365,1357,631,2353,5,Gayatri Projects
,2900,crack,4.44,0,9.32,rural,medium,dry,full_depth_repair,bitumen,717,2963,860,4540,7,Tata Projects
,2901,crack,2.93,0,9.48,rural,medium,rainy,cold_mix,asphalt,1068,4074,813,5955,6,GMR Infra
,2902,crack,1.18,0,8.73,highway,low,rainy,patching,concrete,1642,5760,3202,10604,3,GMR Infra
,2903,pothole,1.42,17,0.0,urban,medium,rainy,patching,bitumen,905,3182,998,5085,4,Megha Engineering
,2904,crack,4.04,0,7.97,rural,low,dry,patching,asphalt,1137,3545,902,5584,3,JMC Projects
,2905,crack,0.32,0,2.37,rural,medium,humid,patching,gravel,396,1106,532,2034,2,KNR Constructions
,2906,pothole,4.96,9,0.0,urban,medium,rainy,cold_mix,bitumen,2994,9333,1439,13766,7,Ramky Infra
,2907,crack,0.74,0,5.99,rural,low,rainy,resurfacing,asphalt,1137,2847,781,4765,4,GR Infraprojects
,2908,pothole,4.0,1,0.0,urban,low,dry,full_depth_repair,bitumen,3322,10000,1498,14820,8,Simplex Infra
,2909,crack,2.03,0,7.11,urban,high,dry,resurfacing,asphalt,1150,4363,1047,6560,4,JMC Projects
,2910,pothole,2.51,4,0.0,urban,very_high,rainy,full_depth_repair,bitumen,2491,5299,2715,10505,10,Dilip Buildcon
,2911,crack,4.42,0,1.25,urban,high,humid,full_depth_repair,bitumen,452,1603,791,2846,9,Sadbhav Engineering
,2912,pothole,2.12,4,0.0,highway,medium,rainy,cold_mix,asphalt,2027,5584,1011,8622,5,Gayatri Projects
,2913,crack,2.73,0,7.79,urban,low,dry,full_depth_repair,bitumen,846,2611,1268,4725,5,Simplex Infra
,2914,crack,0.34,0,3.34,highway,medium,dry,cold_mix,bitumen,878,2823,1527,5228,1,Dilip Buildcon
,2915,pothole,0.11,8,0.0,urban,medium,rainy,resurfacing,concrete,1240,2785,1020,5045,4,Tata Projects
,2916,pothole,1.3,17,0.0,rural,medium,dry,patching,bitumen,873,2727,591,4191,2,Dilip Buildcon
,2917,pothole,3.43,18,0.0,rural,medium,rainy,resurfacing,asphalt,2982,8930,869,12781,6,HCC
,2918,pothole,0.69,18,0.0,highway,medium,rainy,resurfacing,gravel,563,2309,703,3575,4,Dilip Buildcon
,2919,crack,0.66,0,0.29,highway,low,humid,cold_mix,bitumen,200,534,300,1034,2,Dilip Buildcon
,2920,crack,2.11,0,3.98,highway,low,humid,cold_mix,gravel,918,2816,612,4346,4,Gayatri Projects
,2921,pothole,3.27,1,0.0,highway,low,rainy,full_depth_repair,bitumen,3432,8995,3774,16201,7,JMC Projects
,2922,crack,3.59,0,4.8,urban,low,humid,patching,concrete,1081,3049,1926,6056,4,GR Infraprojects
,2923,pothole,0.97,12,0.0,highway,medium,rainy,resurfacing,bitumen,493,1629,1051,3173,5,Shapoorji Pallonji
,2924,pothole,0.49,11,0.0,highway,low,rainy,resurfacing,asphalt,841,2085,1100,4026,4,Megha Engineering
,2925,crack,4.71,0,4.5,urban,medium,rainy,cold_mix,asphalt,928,2808,1347,5083,5,Ashoka Buildcon
,2926,crack,1.38,0,0.55,highway,low,humid,cold_mix,gravel,200,502,300,1002,3,Dilip Buildcon
,2927,crack,4.28,0,3.68,rural,low,dry,cold_mix,asphalt,647,2638,518,3803,7,IRB Infrastructure
,2928,crack,4.33,0,7.59,highway,medium,rainy,resurfacing,bitumen,1206,4701,917,6824,7,Simplex Infra
,2929,crack,3.89,0,3.75,highway,medium,dry,cold_mix,asphalt,1419,3573,1246,6238,3,HCC
,2930,crack,0.93,0,7.18,highway,high,dry,full_depth_repair,concrete,1531,6049,2249,9829,4,IRB Infrastructure
,2931,crack,4.13,0,3.76,highway,very_high,dry,full_depth_repair,bitumen,915,2969,1035,4919,10,HCC
,2932,pothole,3.87,6,0.0,urban,very_high,dry,full_depth_repair,bitumen,3129,10000,1655,14784,7,JMC Projects
,2933,pothole,3.02,14,0.0,urban,medium,rainy,patching,asphalt,3934,10000,1380,15314,7,IRB Infrastructure
,2934,pothole,1.75,10,0.0,urban,medium,rainy,full_depth_repair,gravel,1072,3145,1703,5920,7,Gayatri Projects
,2935,pothole,1.39,20,0.0,urban,low,dry,cold_mix,asphalt,2531,7000,1287,10818,1,IRB Infrastructure
,2936,pothole,0.7,16,0.0,urban,very_high,rainy,cold_mix,asphalt,1159,2699,1357,5215,5,Simplex Infra
,2937,crack,2.6,0,8.2,rural,high,humid,resurfacing,bitumen,1184,3304,2020,6508,5,Punj Lloyd
,2938,pothole,2.97,13,0.0,urban,high,rainy,patching,concrete,2266,7255,1186,10707,6,Gammon India
,2939,pothole,1.86,10,0.0,highway,medium,dry,patching,bitumen,2039,7142,1514,10695,2,Punj Lloyd
,2940,pothole,2.43,6,0.0,highway,medium,rainy,cold_mix,bitumen,1569,5764,1991,9324,4,Gammon India
,2941,pothole,1.88,10,0.0,rural,low,dry,resurfacing,concrete,2299,6454,691,9444,4,Larsen & Toubro
,2942,pothole,3.24,5,0.0,rural,very_high,dry,full_depth_repair,concrete,3996,10000,4013,18009,6,Megha Engineering
,2943,pothole,4.52,6,0.0,urban,medium,rainy,full_depth_repair,bitumen,3378,9370,4990,17738,10,GMR Infra
,2944,pothole,0.9,7,0.0,urban,medium,humid,resurfacing,concrete,573,1537,559,2669,4,Ramky Infra
,2945,crack,1.97,0,2.71,rural,low,rainy,resurfacing,concrete,339,1072,730,2141,5,JMC Projects
,2946,crack,0.79,0,7.04,highway,high,rainy,cold_mix,asphalt,1545,4993,2946,9484,4,NCC Limited
,2947,pothole,3.16,12,0.0,rural,low,rainy,patching,bitumen,2685,9153,1843,13681,6,Gammon India
,2948,crack,3.67,0,5.6,highway,high,rainy,resurfacing,gravel,1043,2560,1344,4947,8,NCC Limited
,2949,crack,4.67,0,6.38,urban,medium,humid,cold_mix,asphalt,860,3272,1092,5224,6,Larsen & Toubro
,2950,crack,1.47,0,8.75,urban,medium,dry,patching,bitumen,1263,3674,578,5515,2,Dilip Buildcon
,2951,crack,4.76,0,7.49,highway,medium,dry,full_depth_repair,gravel,1330,3686,757,5773,8,Simplex Infra
,2952,pothole,0.41,6,0.0,urban,high,dry,resurfacing,gravel,313,783,300,1396,3,Ramky Infra
,2953,crack,3.05,0,6.11,rural,high,dry,full_depth_repair,concrete,1355,3393,1041,5789,5,Megha Engineering
,2954,crack,0.38,0,3.38,highway,medium,dry,cold_mix,concrete,1310,4075,1580,6965,1,Gammon India
,2955,crack,4.48,0,5.15,urban,medium,dry,full_depth_repair,bitumen,1082,2567,752,4401,5,GMR Infra
,2956,pothole,2.7,16,0.0,rural,low,humid,cold_mix,bitumen,1271,4327,1909,7507,5,GR Infraprojects
,2957,pothole,3.38,18,0.0,rural,low,rainy,cold_mix,asphalt,4263,10000,4951,19214,4,Simplex Infra
,2958,pothole,4.17,19,0.0,highway,medium,rainy,patching,gravel,3335,9510,1878,14723,7,Tata Projects
,2959,pothole,0.84,12,0.0,urban,high,rainy,cold_mix,concrete,976,3026,376,4378,4,KNR Constructions
,2960,pothole,0.29,2,0.0,highway,medium,humid,cold_mix,concrete,487,1451,902,2840,2,JMC Projects
,2961,pothole,4.41,10,0.0,urban,medium,rainy,full_depth_repair,bitumen,2772,7642,1310,11724,8,Megha Engineering
,2962,pothole,1.64,12,0.0,rural,high,dry,patching,asphalt,1985,4761,1557,8303,3,Shapoorji Pallonji
,2963,crack,0.73,0,8.59,rural,very_high,dry,patching,bitumen,1054,3847,1435,6336,3,HCC
,2964,crack,2.4,0,2.13,urban,medium,humid,patching,bitumen,557,1578,641,2776,4,Punj Lloyd
,2965,crack,3.03,0,5.79,urban,medium,rainy,full_depth_repair,concrete,1629,4477,1616,7722,7,Shapoorji Pallonji
,2966,pothole,0.25,16,0.0,urban,high,dry,patching,bitumen,445,1500,495,2440,2,IRB Infrastructure
,2967,pothole,1.45,14,0.0,rural,medium,dry,full_depth_repair,bitumen,951,2969,1300,5220,4,Simplex Infra
,2968,pothole,0.26,13,0.0,urban,medium,humid,patching,asphalt,467,1826,341,2634,2,Punj Lloyd
,2969,pothole,2.16,2,0.0,highway,high,humid,cold_mix,bitumen,2312,6645,3724,12681,5,HCC
,2970,pothole,4.49,2,0.0,urban,high,dry,resurfacing,gravel,3173,8575,3268,15016,6,Gayatri Projects
,2971,crack,4.91,0,8.56,highway,high,humid,patching,bitumen,1581,4562,1652,7795,10,Larsen & Toubro
,2972,crack,3.22,0,0.88,highway,low,rainy,full_depth_repair,bitumen,200,500,300,1000,9,NCC Limited
,2973,pothole,0.89,16,0.0,rural,medium,rainy,resurfacing,bitumen,300,999,499,1798,4,Afcons Infra
,2974,pothole,4.54,7,0.0,rural,medium,dry,full_depth_repair,concrete,3348,10000,5161,18509,7,Tata Projects
,2975,pothole,2.63,7,0.0,urban,medium,humid,cold_mix,bitumen,2226,6519,916,9661,5,Afcons Infra
,2976,pothole,0.85,16,0.0,highway,medium,rainy,cold_mix,bitumen,407,988,349,1744,3,JMC Projects
,2977,crack,4.62,0,7.26,rural,medium,dry,full_depth_repair,asphalt,904,3208,1525,5637,6,Dilip Buildcon
,2978,pothole,3.81,6,0.0,highway,medium,dry,resurfacing,bitumen,1819,8006,1982,11807,5,Afcons Infra
,2979,pothole,3.69,18,0.0,rural,high,dry,resurfacing,concrete,3381,10000,6088,19469,5,Punj Lloyd
,2980,pothole,3.57,1,0.0,highway,high,dry,patching,concrete,5000,10000,5038,20038,5,GMR Infra
,2981,pothole,1.08,1,0.0,rural,medium,dry,cold_mix,bitumen,1686,4890,513,7089,2,Sadbhav Engineering
,2982,crack,1.13,0,5.77,highway,medium,rainy,resurfacing,bitumen,988,2867,1578,5433,5,Ramky Infra
,2983,pothole,3.47,14,0.0,urban,medium,dry,cold_mix,asphalt,2700,6978,2932,12610,5,Larsen & Toubro
,2984,pothole,1.18,6,0.0,rural,medium,humid,resurfacing,gravel,1331,4172,645,6148,4,HCC
,2985,crack,2.25,0,9.2,rural,medium,dry,resurfacing,asphalt,1136,3495,851,5482,3,Punj Lloyd
,2986,crack,3.93,0,0.9,rural,high,humid,patching,bitumen,241,827,300,1368,7,JMC Projects
,2987,crack,3.94,0,9.15,rural,low,rainy,full_depth_repair,asphalt,1066,3781,918,5765,9,NCC Limited
,2988,pothole,2.32,3,0.0,rural,medium,dry,cold_mix,asphalt,1826,4315,1821,7962,4,JMC Projects
,2989,pothole,3.98,3,0.0,urban,medium,dry,cold_mix,asphalt,3567,10000,3664,17231,6,Larsen & Toubro
,2990,crack,4.21,0,4.54,rural,low,rainy,full_depth_repair,asphalt,1128,2879,1138,5145,7,Sadbhav Engineering
,2991,crack,3.31,0,9.74,rural,low,humid,patching,bitumen,785,3366,729,4880,5,KNR Constructions
,2992,crack,1.22,0,9.9,urban,high,dry,patching,concrete,1811,5557,1005,8373,3,Shapoorji Pallonji
,2993,crack,1.44,0,6.54,highway,high,dry,cold_mix,bitumen,1295,2986,983,5264,3,JMC Projects
,2994,crack,1.64,0,1.36,urban,high,humid,full_depth_repair,asphalt,573,1976,589,3138,6,Gammon India
,2995,crack,0.67,0,5.11,urban,medium,humid,patching,bitumen,884,2882,955,4721,2,Tata Projects
,2996,pothole,1.44,11,0.0,rural,high,rainy,full_depth_repair,asphalt,1988,5359,1885,9232,6,Megha Engineering
,2997,pothole,1.13,13,0.0,highway,low,rainy,resurfacing,asphalt,1714,5041,913,7668,5,KNR Constructions
,2998,pothole,2.33,20,0.0,rural,high,dry,cold_mix,concrete,1227,2895,794,4916,4,Afcons Infra
,2999,crack,4.55,0,6.84,highway,medium,dry,patching,concrete,1917,4537,1809,8263,4,Shapoorji Pallonji
,3000,crack,0.61,0,5.48,rural,high,dry,resurfacing,concrete,938,3759,769,5466,3,Ramky Infra
,3001,crack,3.63,0,8.12,highway,medium,dry,full_depth_repair,asphalt,933,3637,1574,6144,7,Larsen & Toubro
,3002,crack,3.47,0,6.52,urban,high,rainy,full_depth_repair,bitumen,1108,3617,1162,5887,9,Tata Projects
,3003,crack,0.57,0,8.78,highway,medium,dry,cold_mix,asphalt,1283,4503,1295,7081,1,GMR Infra
,3004,crack,4.62,0,3.87,rural,low,dry,resurfacing,bitumen,469,1649,586,2704,7,Tata Projects
,3005,pothole,2.89,3,0.0,rural,medium,rainy,patching,gravel,1628,3735,1150,6513,6,Gayatri Projects
,3006,pothole,1.88,2,0.0,urban,medium,dry,cold_mix,bitumen,1270,4736,1800,7806,2,IRB Infrastructure
,3007,crack,3.81,0,6.3,highway,low,rainy,resurfacing,asphalt,781,2247,1384,4412,7,Punj Lloyd
,3008,pothole,1.36,3,0.0,highway,medium,dry,cold_mix,bitumen,1141,3958,807,5906,2,Simplex Infra
,3009,crack,3.5,0,5.12,highway,medium,dry,resurfacing,gravel,1099,3182,330,4611,4,Larsen & Toubro
,3010,pothole,0.29,11,0.0,urban,medium,dry,patching,asphalt,390,1489,641,2520,1,Gayatri Projects
,3011,crack,4.21,0,2.6,urban,medium,dry,full_depth_repair,bitumen,571,1526,925,3022,5,Simplex Infra
,3012,crack,2.3,0,3.58,urban,low,dry,full_depth_repair,bitumen,699,2077,363,3139,6,IRB Infrastructure
,3013,pothole,3.22,15,0.0,rural,medium,dry,full_depth_repair,asphalt,2467,6132,3246,11845,5,GMR Infra
,3014,pothole,1.18,18,0.0,highway,low,dry,patching,asphalt,1239,3617,1947,6803,2,HCC
,3015,crack,3.42,0,9.55,urban,low,dry,resurfacing,bitumen,1302,3512,440,5254,6,Punj Lloyd
,3016,crack,3.88,0,9.51,urban,very_high,dry,cold_mix,bitumen,1204,4273,1351,6828,6,Gayatri Projects
,3017,pothole,2.42,20,0.0,urban,very_high,rainy,full_depth_repair,bitumen,1233,4726,1864,7823,10,Shapoorji Pallonji
,3018,pothole,3.13,7,0.0,highway,high,rainy,full_depth_repair,asphalt,4820,10000,3942,18762,9,GMR Infra
,3019,crack,2.34,0,5.15,urban,medium,dry,patching,asphalt,766,2157,741,3664,4,Dilip Buildcon
,3020,pothole,4.48,8,0.0,highway,high,dry,patching,concrete,4629,10000,6593,21222,5,GMR Infra
,3021,crack,2.54,0,7.76,urban,medium,dry,resurfacing,concrete,1102,3501,1724,6327,3,HCC
,3022,crack,4.22,0,2.89,highway,low,rainy,resurfacing,asphalt,435,1466,300,2201,7,Punj Lloyd
,3023,crack,4.03,0,2.95,rural,high,rainy,resurfacing,asphalt,668,1758,945,3371,9,KNR Constructions
,3024,crack,2.11,0,9.07,urban,very_high,dry,cold_mix,concrete,1574,5302,1066,7942,5,Ashoka Buildcon
,3025,pothole,1.23,6,0.0,highway,high,humid,resurfacing,concrete,1205,4358,2220,7783,5,Tata Projects
,3026,pothole,2.09,20,0.0,rural,medium,humid,resurfacing,bitumen,1052,3312,1491,5855,4,Gammon India
,3027,pothole,4.15,7,0.0,rural,medium,dry,cold_mix,bitumen,2154,6397,2780,11331,6,JMC Projects
,3028,pothole,1.22,6,0.0,rural,low,dry,full_depth_repair,concrete,2189,7332,1059,10580,4,GR Infraprojects
,3029,pothole,2.67,17,0.0,urban,medium,dry,full_depth_repair,bitumen,968,2485,425,3878,5,NCC Limited
,3030,pothole,4.05,8,0.0,highway,high,humid,patching,concrete,4860,10000,4332,19192,6,Larsen & Toubro
,3031,pothole,1.83,12,0.0,rural,medium,dry,cold_mix,asphalt,1558,4661,1209,7428,2,GMR Infra
,3032,crack,3.25,0,5.2,highway,low,dry,resurfacing,bitumen,665,2324,987,3976,6,Larsen & Toubro
,3033,pothole,1.3,4,0.0,rural,low,humid,full_depth_repair,concrete,2322,6151,1438,9911,4,Gayatri Projects
,3034,pothole,0.64,10,0.0,urban,medium,rainy,patching,asphalt,479,1823,883,3185,3,Simplex Infra
,3035,crack,3.99,0,4.04,urban,very_high,rainy,cold_mix,asphalt,1116,2655,1292,5063,10,IRB Infrastructure
,3036,pothole,0.58,8,0.0,highway,medium,humid,cold_mix,bitumen,582,1727,1031,3340,2,Megha Engineering
,3037,pothole,1.43,3,0.0,highway,medium,humid,cold_mix,gravel,2238,5596,1640,9474,3,GR Infraprojects
,3038,crack,4.29,0,7.38,rural,medium,dry,resurfacing,concrete,1175,4003,697,5875,7,Punj Lloyd
,3039,pothole,1.8,1,0.0,urban,high,rainy,resurfacing,bitumen,845,3070,1393,5308,6,JMC Projects
,3040,pothole,4.87,13,0.0,highway,high,rainy,resurfacing,concrete,5000,10000,5470,20470,9,Ramky Infra
,3041,pothole,4.9,18,0.0,highway,medium,dry,patching,bitumen,2642,9734,5133,17509,4,Tata Projects
,3042,crack,1.41,0,1.49,highway,low,dry,cold_mix,bitumen,426,1759,512,2697,2,NCC Limited
,3043,pothole,0.3,15,0.0,urban,low,dry,patching,gravel,417,1107,353,1877,1,GR Infraprojects
,3044,pothole,3.55,3,0.0,urban,high,humid,patching,concrete,3710,9282,5257,18249,5,KNR Constructions
,3045,crack,2.31,0,5.41,urban,medium,humid,patching,asphalt,1487,4223,603,6313,3,NCC Limited
,3046,pothole,0.59,14,0.0,urban,high,rainy,resurfacing,asphalt,1258,3479,531,5268,5,HCC
,3047,crack,3.57,0,4.41,highway,medium,humid,cold_mix,bitumen,759,2481,966,4206,4,Gayatri Projects
,3048,crack,0.25,0,3.02,rural,high,dry,full_depth_repair,bitumen,718,1960,998,3676,4,Sadbhav Engineering
,3049,pothole,4.36,5,0.0,highway,low,dry,resurfacing,bitumen,2009,7125,4045,13179,4,Megha Engineering
,3050,crack,0.78,0,3.33,urban,medium,dry,resurfacing,bitumen,844,1892,1031,3767,2,Tata Projects
,3051,crack,0.72,0,2.5,rural,medium,rainy,full_depth_repair,concrete,831,2826,461,4118,5,GR Infraprojects
,3052,pothole,0.96,2,0.0,rural,medium,humid,patching,bitumen,233,691,300,1224,2,Sadbhav Engineering
,3053,crack,4.81,0,9.01,urban,medium,dry,patching,asphalt,1247,3402,1691,6340,6,KNR Constructions
,3054,crack,3.5,0,3.14,rural,medium,dry,resurfacing,bitumen,624,1927,300,2851,4,Shapoorji Pallonji
,3055,pothole,4.03,10,0.0,rural,medium,rainy,resurfacing,bitumen,3673,9390,1828,14891,6,Sadbhav Engineering
,3056,pothole,2.05,18,0.0,highway,high,rainy,resurfacing,bitumen,1316,4994,1702,8012,7,Afcons Infra
,3057,pothole,1.75,7,0.0,urban,medium,dry,full_depth_repair,concrete,2132,6305,697,9134,4,Afcons Infra
,3058,crack,1.25,0,1.41,highway,high,humid,resurfacing,asphalt,562,1961,379,2902,5,GMR Infra
,3059,pothole,2.46,7,0.0,highway,medium,dry,resurfacing,bitumen,2017,6787,1373,10177,3,Ramky Infra
,3060,crack,2.8,0,5.19,highway,high,dry,cold_mix,asphalt,1131,3943,646,5720,4,HCC
,3061,crack,3.2,0,8.54,highway,medium,dry,full_depth_repair,asphalt,1599,5215,2297,9111,7,GMR Infra
,3062,crack,1.36,0,6.45,urban,medium,rainy,full_depth_repair,gravel,1226,2845,895,4966,6,GR Infraprojects
,3063,crack,4.75,0,1.84,rural,medium,humid,cold_mix,concrete,721,2419,665,3805,4,Tata Projects
,3064,crack,0.93,0,1.67,highway,medium,humid,patching,bitumen,499,1078,502,2079,3,Simplex Infra
,3065,crack,4.83,0,4.18,rural,medium,rainy,full_depth_repair,bitumen,896,2272,1149,4317,11,Tata Projects
,3066,crack,0.17,0,0.84,urban,high,dry,resurfacing,asphalt,363,998,300,1661,3,Ashoka Buildcon
,3067,pothole,2.46,15,0.0,highway,medium,rainy,resurfacing,bitumen,1899,6094,1630,9623,6,Punj Lloyd
,3068,pothole,1.73,9,0.0,rural,high,humid,patching,asphalt,1102,2818,1674,5594,4,NCC Limited
,3069,crack,2.3,0,6.62,highway,high,dry,cold_mix,gravel,599,2507,835,3941,4,Larsen & Toubro
,3070,crack,2.9,0,4.38,rural,low,dry,cold_mix,bitumen,631,1323,625,2579,3,GR Infraprojects
,3071,pothole,2.23,8,0.0,highway,high,rainy,cold_mix,gravel,1031,3752,1542,6325,6,Larsen & Toubro
,3072,crack,2.13,0,5.74,highway,high,dry,resurfacing,bitumen,837,2388,1078,4303,5,JMC Projects
,3073,pothole,3.69,20,0.0,rural,low,dry,cold_mix,asphalt,3448,10000,1391,14839,5,Sadbhav Engineering
,3074,pothole,3.46,20,0.0,urban,low,rainy,cold_mix,bitumen,1762,6196,2183,10141,6,Larsen & Toubro
,3075,pothole,4.18,6,0.0,urban,medium,humid,resurfacing,bitumen,2845,7414,3325,13584,6,IRB Infrastructure
,3076,crack,1.32,0,7.9,rural,low,humid,patching,bitumen,942,2213,1259,4414,3,HCC
,3077,crack,3.09,0,7.0,highway,medium,rainy,resurfacing,bitumen,1288,4920,1684,7892,6,Tata Projects
,3078,pothole,2.97,14,0.0,rural,very_high,humid,cold_mix,asphalt,1127,4158,1203,6488,8,KNR Constructions
,3079,pothole,1.91,11,0.0,urban,low,dry,patching,concrete,1030,2971,942,4943,3,HCC
,3080,pothole,2.48,17,0.0,urban,medium,rainy,cold_mix,concrete,1986,8417,2189,12592,6,KNR Constructions
,3081,pothole,1.64,9,0.0,rural,high,dry,resurfacing,bitumen,890,2207,797,3894,5,Punj Lloyd
,3082,pothole,0.8,7,0.0,rural,low,rainy,resurfacing,asphalt,469,1242,305,2016,4,GMR Infra
,3083,crack,1.15,0,7.3,highway,high,humid,patching,concrete,2098,6728,918,9744,4,GR Infraprojects
,3084,pothole,0.62,17,0.0,rural,low,dry,cold_mix,concrete,765,2613,486,3864,1,Sadbhav Engineering
,3085,crack,3.45,0,1.35,urban,medium,humid,cold_mix,asphalt,566,1762,511,2839,6,Gayatri Projects
,3086,pothole,3.34,16,0.0,rural,medium,dry,patching,bitumen,3167,7335,2968,13470,4,NCC Limited
,3087,crack,4.76,0,5.47,highway,high,rainy,full_depth_repair,asphalt,1346,3938,986,6270,8,GR Infraprojects
,3088,crack,3.68,0,9.92,rural,medium,dry,resurfacing,gravel,1044,2535,1473,5052,4,Gayatri Projects
,3089,crack,0.36,0,8.58,urban,very_high,humid,resurfacing,concrete,1991,5580,1165,8736,5,Gayatri Projects
,3090,crack,4.43,0,3.11,urban,medium,dry,cold_mix,concrete,862,3083,1035,4980,3,Afcons Infra
,3091,crack,4.33,0,3.08,highway,high,dry,resurfacing,bitumen,1048,3487,1825,6360,9,HCC
,3092,crack,2.27,0,4.89,urban,medium,humid,patching,gravel,842,2080,639,3561,5,Larsen & Toubro
,3093,pothole,2.97,9,0.0,urban,very_high,rainy,resurfacing,bitumen,878,3547,673,5098,9,Afcons Infra
,3094,crack,4.88,0,3.77,urban,medium,rainy,patching,concrete,1584,4050,801,6435,7,Dilip Buildcon
,3095,pothole,2.71,13,0.0,highway,medium,rainy,resurfacing,bitumen,2733,6053,2224,11010,6,Ashoka Buildcon
,3096,crack,4.54,0,1.29,urban,medium,rainy,full_depth_repair,asphalt,498,1314,806,2618,10,GMR Infra
,3097,crack,0.51,0,1.72,highway,low,humid,cold_mix,bitumen,664,2298,477,3439,2,Punj Lloyd
,3098,pothole,1.04,2,0.0,rural,medium,humid,full_depth_repair,bitumen,1114,3371,1624,6109,5,Punj Lloyd
,3099,crack,2.26,0,7.43,rural,high,dry,patching,bitumen,1001,3077,694,4772,4,Dilip Buildcon
,3100,pothole,2.97,19,0.0,highway,medium,rainy,cold_mix,asphalt,2445,7396,3699,13540,6,Tata Projects
,3101,pothole,4.1,12,0.0,rural,medium,humid,resurfacing,gravel,2107,5865,1225,9197,5,GR Infraprojects
,3102,pothole,4.94,4,0.0,rural,medium,humid,resurfacing,bitumen,3211,7175,3421,13807,6,Larsen & Toubro
,3103,pothole,2.01,10,0.0,urban,medium,dry,full_depth_repair,bitumen,1909,4423,1835,8167,4,JMC Projects
,3104,crack,0.33,0,5.71,rural,very_high,rainy,cold_mix,bitumen,1255,2602,1303,5160,5,Gayatri Projects
,3105,crack,4.03,0,7.82,highway,medium,humid,resurfacing,bitumen,970,4293,1022,6285,6,GMR Infra
,3106,pothole,3.06,8,0.0,highway,medium,dry,patching,bitumen,2787,7264,3975,14026,5,Simplex Infra
